aramaic,hebrew,score,verses
רצינ,רצינ,1.8824,8
ועלי,ועלי,1.8824,8
אחימעצ,אחימעצ,1.8824,8
לאסא,לאסא,1.8824,8
מנחמ,מנחמ,1.8824,8
רבקה,רבקה,1.8734,37
יהויקימ,יהויקימ,1.8723,22
דעואל,דעואל,1.8667,7
במדינ,במדינ,1.8667,7
שמואל,שמואל,1.8667,91
ימינכ,ימינכ,1.8667,7
ובעמכ,ובעמכ,1.8667,7
זכריה,זכריה,1.8667,7
רבשקה,רבשקה,1.8667,14
אבנר,אבנר,1.8667,35
נבט,נבט,1.8667,21
ואלישע,ואלישע,1.8667,7
אחימלכ,אחימלכ,1.8667,7
נדב,נדב,1.8605,20
עיננ,עיננ,1.8571,13
מכיר,מכיר,1.8571,13
בעופא,בעופ,1.8571,6
מצידא,מציד,1.8571,4
דעיבל,עיבל,1.8571,8
בכרמא,בכרמ,1.8571,4
ולקטא,ולקט,1.8571,4
לעניי,לעני,1.8571,4
בחרמא,בחרמ,1.8571,3
תבכונ,תבכו,1.8571,3
תתאסר,תאסר,1.8571,3
יהושע,יהושע,1.8529,170
כל,כל,1.8464,2681
ואיתמר,ואיתמר,1.8462,6
וקהת,וקהת,1.8462,6
להושע,להושע,1.8462,6
וישראל,וישראל,1.8462,24
חגלה,חגלה,1.8462,6
ככוכבי,ככוכבי,1.8462,12
לרבקה,לרבקה,1.8462,6
ורבקה,ורבקה,1.8462,6
לוטנ,לוטנ,1.8462,6
אסנת,אסנת,1.8462,6
ושמי,ושמי,1.8462,6
וחור,וחור,1.8462,6
אורי,אורי,1.8462,6
לדריוש,לדריוש,1.8462,6
דגונ,דגונ,1.8462,6
יהושפט,יהושפט,1.8462,24
אוריה,אוריה,1.8462,24
ישי,ישי,1.8462,24
עמרי,עמרי,1.8462,12
אבינדב,אבינדב,1.8462,6
בתרצה,בתרצה,1.8462,6
ביזרעאל,ביזרעאל,1.8462,6
מררי,מררי,1.8400,23
ויעקב,ויעקב,1.8400,23
נבוכדראצר,נבוכדראצר,1.8400,23
ובירושלמ,ובירושל,1.8395,11
יהודה,יהודה,1.8386,467
מירושלמ,מירושל,1.8384,26
בלהה,בלהה,1.8378,17
בכל,בכל,1.8355,396
ובנחליא,ובנחלימ,1.8333,4
ובפרשינ,ובפרשימ,1.8333,3
זמרי,זמרי,1.8333,11
עקרונ,עקרונ,1.8333,11
ואהרנ,ואהרנ,1.8308,92
עדה,עדה,1.8286,16
רחבעמ,רחבעמ,1.8286,16
ממצרימ,ממצרימ,1.8210,117
עמרמ,עמרמ,1.8182,10
מחר,מחר,1.8182,45
ואבירמ,ואבירמ,1.8182,10
קריתימ,קריתימ,1.8182,5
עוצ,עוצ,1.8182,5
ממרא,ממרא,1.8182,15
דמשק,דמשק,1.8182,20
ואבימלכ,ואבימלכ,1.8182,5
דע,דע,1.8182,5
מעכה,מעכה,1.8182,10
סכות,סכות,1.8182,10
לאמתכ,לאמתכ,1.8182,5
קרבנכ,קרבנכ,1.8182,5
עכנ,עכנ,1.8182,5
חפני,חפני,1.8182,5
דעו,דעו,1.8182,5
ויוחננ,ויוחננ,1.8182,5
ושבנא,ושבנא,1.8182,5
אביגיל,אביגיל,1.8182,5
אלעזר,אלעזר,1.8154,59
שאול,שאול,1.8149,255
בביתכ,בביתכ,1.8113,24
דינה,דינה,1.8065,14
נבות,נבות,1.8065,14
אחאב,אחאב,1.8053,51
אלישע,אלישע,1.8049,37
בישראל,בישראל,1.8000,108
ונשיהונ,ונשיהמ,1.8000,7
יאיר,יאיר,1.8000,9
לנפשתיכונ,לנפשתיכמ,1.8000,5
וגמלינ,וגמלימ,1.8000,7
וישמעאל,וישמעאל,1.8000,9
דגרר,גרר,1.8000,6
לגמליא,לגמלימ,1.8000,4
אליפז,אליפז,1.8000,9
יורמ,יורמ,1.8000,9
מעבדי,מעבדי,1.8000,9
וחגא,וחג,1.8000,4
ובנחשא,ובנחשת,1.8000,5
כימא,כימ,1.8000,3
חושי,חושי,1.8000,9
ציבא,ציבא,1.8000,9
יואש,יואש,1.7959,22
שרה,שרה,1.7944,48
דוד,דוד,1.7940,431
חירמ,חירמ,1.7931,13
בבני,בבני,1.7910,30
פעור,פעור,1.7895,17
לעשו,לעשו,1.7895,17
צדוק,צדוק,1.7895,17
מיכה,מיכה,1.7895,17
בלק,בלק,1.7879,59
נח,נח,1.7812,57
מכל,מכל,1.7796,214
אהרנ,אהרנ,1.7789,354
ובעיני,ובעיני,1.7778,12
וחברונ,וחברונ,1.7778,4
ולאבירמ,ולאבירמ,1.7778,4
מחרנ,מחרנ,1.7778,4
מדנ,מדנ,1.7778,8
וקומ,וקומ,1.7778,4
צפו,צפו,1.7778,4
בשבע,בשבע,1.7778,4
שפמ,שפמ,1.7778,4
כארבע,כארבע,1.7778,4
מגלה,מגלה,1.7778,4
וביהודה,וביהודה,1.7778,4
תפוח,תפוח,1.7778,4
אבימ,אבימ,1.7778,4
אהליבה,אהליבה,1.7778,4
ממגדל,ממגדל,1.7778,4
לנבוכדראצר,לנבוכדראצר,1.7778,4
עזריה,עזריה,1.7778,4
מעשיה,מעשיה,1.7778,4
גוזנ,גוזנ,1.7778,4
בחירי,בחירי,1.7778,4
ואביתר,ואביתר,1.7778,4
ליואש,ליואש,1.7778,4
ליש,ליש,1.7778,4
ופינחס,ופינחס,1.7778,4
קיש,קיש,1.7778,4
במדברא,במדבר,1.7722,167
שלמה,שלמה,1.7712,120
בשמרונ,בשמרונ,1.7705,27
וביניכונ,וביניכמ,1.7692,16
יואב,יואב,1.7692,69
יזרעאלה,היזרעאלי,1.7692,8
לברכא,לברכ,1.7687,10
יצחק,יצחק,1.7668,125
אבשלומ,אבשלומ,1.7667,53
אסא,אסא,1.7647,15
ראובנ,ראובנ,1.7634,82
ומשה,ומשה,1.7627,26
צוער,צוער,1.7600,11
ולבני,ולבני,1.7600,22
אביתר,אביתר,1.7600,11
במשה,במשה,1.7500,7
שוחמ,השוחמי,1.7500,4
חירתא,החירת,1.7500,8
כספנא,כספנו,1.7500,6
נמות,נמות,1.7500,14
בגלעד,בגלעד,1.7500,7
ותכלא,ותכלת,1.7500,10
צפניה,צפניה,1.7500,7
בגת,בגת,1.7500,7
אבו,אבו,1.7500,7
יוחננ,יוחננ,1.7500,7
צרויה,צרויה,1.7500,14
איזבל,איזבל,1.7500,14
דבשור,הבשור,1.7500,3
עשהאל,עשהאל,1.7500,7
שבע,שבע,1.7494,171
שמשונ,שמשונ,1.7465,31
ולברכא,ולברכ,1.7436,6
כחטאתא,כחטאת,1.7436,6
בירדנא,בירדנ,1.7436,6
רמליהו,רמליהו,1.7391,10
מיכיהו,מיכיהו,1.7391,10
ובינ,ובינ,1.7385,113
משה,משה,1.7384,967
ודבש,ודבש,1.7349,36
מזרעא,מזרע,1.7333,14
עמודי,עמודי,1.7333,13
וידעונ,וידעו,1.7327,61
קומ,קומ,1.7297,48
יתרו,יתרו,1.7297,16
אברמ,אברמ,1.7290,67
ולאחתיה,ולאחתו,1.7273,4
ומנחתיה,ומנחתו,1.7273,8
נחור,נחור,1.7273,19
הידעתונ,הידעתמ,1.7273,4
מבתיכונ,מבתיכמ,1.7273,3
ובמנרתא,ובמנרה,1.7273,4
